Review,Sentiment
"Avoid this company at all costs. The service is terrible, and the products are subpar.",Negative
"I had to wait quite a while for my request to be processed. The response time could be improved.",Recommendation
"the system sometimes just freeze, pls fix this",Recommendation
"I would not recommend this product. It's overpriced and doesn't work as advertised.",Negative
"I'm extremely dissatisfied with this product. It's cheaply made and doesn't function properly.",Negative
"Avoid this company. Terrible customer service.",Negative
"What’s the use of a fast processor if the software lags constantly?",Negative
"The server error for feed details is an ongoing issue. Please work on it as soon as possible.",Recommendation
"Terrible experience. The delivery was late, and the product was damaged.",Negative
"The worst customer service I've ever encountered.",Negative
"Why is there such a huge delay when trying to access customer support?",Negative
"Is it normal for the system to be so slow when processing data?",Negative
"it’s ok, but too many issues with the LTC application",Negative
"Why are the leave requests taking weeks to process?",Query
"The LTC application error is frustrating. Please fix it at the earliest.",Recommendation
"the claim process is simple but takes a long time",Negative
"Absolutely awful experience. Avoid at all costs.",Negative
"Why is it so difficult to find the details I need in this system?",Negative
"Should I wait for the next update, or just give up entirely?",Negative
"The response from the team was slow, and the issue wasn’t resolved even after raising a ticket.",Recommendation
"I had a terrible experience with this company. The customer service was rude and unhelpful.",Negative
"What’s the point of a guarantee if it never gets honored?",Negative
"Is this their idea of customer satisfaction?",Negative
"Should I trust a brand that delivers such poor quality?",Negative
"If this is the best option, what are the other products like?",Negative
"Regret buying this product. Not worth it.",Negative
"Why advertise durability when it barely lasts a week?",Negative
"system speed is very slow, pls do something",Recommendation
"i had trouble with the feed details page",Negative
"This product does one thing well—fails. The only thing faster than its breakdown was my regret.",Negative
"Wow, this product really exceeded my expectations—in all the worst ways possible. From the moment I opened the box, I knew I was in for a treat. The packaging? Flimsy and torn. A masterpiece of 'we-don't-care.' The product itself? A marvel of engineering failure. It stopped working within five minutes, which, honestly, was a relief because those five minutes were excruciating. The buttons feel like they're made from leftover plastic toys, and the 'premium' features? Yeah, if 'premium' means 'does absolutely nothing,' then they nailed it. Customer service? Don't even bother. I think they've mastered the art of disappearing into the void. Truly a revolutionary experience in how bad a product can be. Five stars—for being the worst thing I've ever bought.",Negative
"The medical claim process could be streamlined further. There’s a lot of unnecessary back-and-forth.",Recommendation
"Should I trust a brand that delivers faulty products?",Negative
"leave requests are too slow to process",Negative
"Should I be impressed by the design, or distracted by how poorly it functions?",Negative
"Can anyone explain why my claim amount is always calculated wrong?",Query
"I think the user interface could be more intuitive. It’s hard to navigate at times.",Recommendation
"Why does it feel like the system gets slower with every update?",Negative
"I had a horrible experience with this company.",Negative
"Can this be called a solution if it creates more problems than it solves?",Negative
"Regret purchasing this product. It's of poor quality.",Negative
"Disappointed with the product. It didn't meet my expectations.",Negative
"Why is the server error happening every time I try to save my details?",Negative
"Mayurpankh not running on Ubuntu",Negative
"Is this supposed to be a feature, or a bug?",Negative
"Why does their idea of ‘improvement’ make everything worse?",Negative
"Should I feel lucky the product arrived, or annoyed it was broken on delivery?",Negative
"was waiting for help 4 hours, not good",Negative
"The helpdesk team could improve their training. I’m still waiting for a resolution to my issue.",Negative
"helpdesk solved my issue but took too long",Negative
"Is this system ever going to work properly without freezing?",Negative
"feedback system broken, doesn’t work",Negative
"If this is considered intuitive design, what does confusing design look like?",Negative
"Why market this as a time-saver when it takes twice as long to set up?",Negative
"If this is what they call 'premium quality,' what does the standard version even look like?",Negative
"The medical claim process could be more streamlined. It’s a bit complicated right now.",Recommendation
"leave application takes too long to approve",Negative
"Should I keep using this product, or just throw it away?",Negative
"How can they claim this is user-friendly when it's impossible to navigate?",Negative
"Mayurpankh work well in Windows but not in Linux",Negative
"Please optimize the system's performance. It takes a long time to load, and many users have reported the same issue.",Recommendation
"Avoid this product. It's not worth it.",Negative
"It's amazing how a product can be both overpriced and useless. A true innovation in bad design!",Negative
"Absolutely terrible experience. Avoid.",Negative
"A masterpiece of mediocrity. It's almost impressive how consistently underwhelming every aspect is.",Negative
"What’s the point of a support team if they never respond?",Negative
"don’t like how TADA and telephone bills are handled",Negative
"Does no one care about fixing the system's performance issues?",Negative
"If this is the ‘new and improved’ version, what was the old one like?",Negative
"If this is their idea of premium service, what’s the basic service like?",Negative
"I had to wait a long time for a response from the helpdesk. It could be faster.",Recommendation
"dont like the update, it made it worse",Negative
"Avoid this company at all costs. Terrible service.",Negative
"If this is a trusted brand, why do I feel cheated?",Negative
"system is slow even after update",Negative
"How can they release a product with so many bugs?",Negative
"Can this be called innovation when it feels like a step backward?",Negative
"If this is supposed to be cutting-edge, why does it feel outdated?",Query
"Why does the back button still not work after multiple updates?",Negative
"medical claim detail show incorrect amt",Negative
"Is this what you call support? No one answers the calls!",Negative
"Is it normal for updates to make the system slower instead of faster?",Query
"The Mayurpankh tool doesn’t seem to be working properly in Ubuntu. Please fix it soon.",Recommendation
"If this is supposed to make my life easier, why do I feel more stressed using it?",Negative
"If this is durable, why is it already falling apart?",Negative
"If this is a premium service, what does basic service look like?",Negative
"Should I expect better service, or is this all I can get?",Negative
"Isn’t it clear this product wasn’t tested before release?",Negative
"Is this a revolutionary product, or just another overhyped disappointment?",Negative
"leave system not updating properly",Negative
"Terrible product. Avoid buying it.",Negative
"I never knew disappointment could be packaged so beautifully. It's almost as if they tried harder on the box than the product.",Negative
"Mayurpankh tool does not open",Negative
"Avoid this product. It's a complete waste of money.",Negative
"Please ensure that the back button works as expected. It's currently unreliable.",Recommendation
"If the premium version is this bad, how bad is the standard one?",Negative
"If this is supposed to make work easier, why does it create more work?",Negative
"Do I have to keep raising tickets for the same issue every time?",Negative
"Why call it waterproof when it stops working after a single splash?",Negative
"I thought I'd be getting a great deal, but instead, I got an expensive paperweight. At least it looks terrible on my desk too.",Negative
"How do they expect me to rely on this when it breaks every time I use it?",Negative
"Why call it user-friendly when the interface is a nightmare to navigate?",Negative
"too many errors while submitting my claim",Negative
"If I knew this was going to be this bad, I would’ve never bought it.",Negative
"The service was terrible. I will never come back again.",Negative
"medical claims could be handled better",Recommendation
"Wow, this product is incredible—if you're into things that break instantly, look cheap, and come with non-existent customer service. Truly a next-level disappointment. 10/10 wouldn't recommend!",Negative
"Is it really a discount if the quality drops this much?",Negative
"The system lags quite a bit, especially during peak hours. This needs to be fixed.",Recommendation
"What’s the point of a stylish design if it’s completely impractical?",Negative
"Why does the system crash every time I try to update my claim?",Negative
"Is it really worth the hype, or are we just paying for the brand name?",Negative
"What’s the point of offering a warranty when they don’t honor it?",Negative
"sometimes it’s too hard to find what i need",Neutral
"The LTC application has no records. Please fix this.",Recommendation
"What’s the point of offering 24/7 customer service when no one actually picks up the phone?",Negative
"I'm truly impressed with how much this product has taught me—mainly about my own poor decision-making skills. It's almost like it's designed to remind you that sometimes, you just make terrible choices. A real life lesson in a box!",Negative
"I don't think the new feature added much value to the system. It feels like it's still incomplete.",Recommendation
"How come the website crashes when I try to access it during peak hours?",Negative
"The system could really benefit from a more modern interface. It feels outdated.",Recommendation
"Why does the app freeze every time I try to save my progress?",Negative
"Is this a user-friendly interface, or a puzzle designed to frustrate us?",Negative
"fix the speed of system, its very slow",Recommendation
"its taking too long to process leave application",Negative
"Why does it take so long to load a simple page on the app?",Negative
"helpdesk needs more training",Recommendation
"Is there a reason why my leave record always shows 'No records'?",Negative
"I'm extremely disappointed with this product. It's poorly made and doesn't function as it should.",Negative
"Does the helpdesk even know how to fix these recurring issues?",Negative
"This product really raises the bar—for worst purchase of the year. Can't wait to never buy anything from this company again.",Negative
"Absolutely atrocious service. Never again.",Negative
"How can this be considered user-friendly when it keeps crashing?",Negative
"Should I feel satisfied with this service, or just disappointed?",Negative
"Why advertise a product as 'high quality' when it falls apart so easily?",Negative
"What’s the logic behind advertising something so unreliable?",Negative
"How can anyone be satisfied with this when it’s clearly faulty?",Negative
"Why pay so much for a product that barely does half of what it promises?",Negative
"Why release a product with so many glitches and bugs?",Negative
"Why is the software still in beta when we’re paying for the full version?",Query
"Why claim it’s lightweight when it’s so bulky to carry?",Negative
"system freezing all the time",Negative
"Absolutely horrendous service. Never again.",Negative
"fix the server error pls",Recommendation
"Should I keep waiting for a fix, or just give up now?",Negative
"Am I supposed to wait an entire day for the system to respond?",Negative
"please fix the back button, it doesn't work",Recommendation
"too much lag in system",Negative
"Can I even call this reliable when it stops working after a day?",Negative
"Horrible experience. Do not recommend.",Negative
"Why does this take so long to fix when it’s such a simple issue?",Query
"not happy with my leave amendment request",Negative
"I’m experiencing slow response times after clicking buttons. It's frustrating.",Negative
"Is there a reason why the service is constantly unavailable at night?",Query
"the system is so slow, pls optimize",Recommendation
"too many steps to claim medical expenses",Negative
"Can I call it value for money if I feel like I paid more for the packaging than the product?",Negative
"The quality of the item was poor. Not worth the money.",Negative
"leave system takes too much time",Negative
"helpdesk did not provide a proper solution",Negative
"Should I keep using this, or just cut my losses?",Negative
"I am unable to check feed details",Negative
"The worst service I've ever received. The staff were rude and unprofessional.",Negative
"Oh, I can't say enough about this product! It's like they took everything that could go wrong and masterfully crammed it into one package. Every time I use it, I'm amazed at how quickly my expectations are lowered. If you love disappointment, this is the one for you!",Negative
"A true masterpiece of underperformance! It somehow manages to do less than nothing. I didn't even know that was possible. You really have to admire the way it takes incompetence to a whole new level. Bravo!",Negative
"had trouble with leave amendment, not working",Negative
"How is this the top-rated option when it performs this poorly?",Negative
"still waiting for my leave approval",Negative
"Is it fair to call this customer service when no one responds?",Negative
"Why does Mayurpankh not work on Linux even now?",Query
"need faster responses from helpdesk",Recommendation
"back button is not working properly",Negative
"If you're tired of products that work well and do what they're supposed to, look no further. This one really raises the bar on uselessness. I love how it always keeps me guessing—will it work this time, or will it break in a spectacularly inconvenient way? The suspense is thrilling!",Negative
"Mayurpankh doesn’t work on Linux yet",Negative
"my feed details dont show up",Negative
"Should I trust their guarantee, or prepare for disappointment?",Negative
"why does this happen all the time",Negative
"Isn't it funny how the instructions are written as if we all have engineering degrees?",Negative
"medical claim processing is very slow",Negative
"The delivery was late and the packaging was damaged.",Negative
"claim bill amount shows wrong details",Negative
"What’s the point of offering features that don’t work properly?",Negative
"cant find back button anywhere",Negative
"Terrible service. Avoid this company.",Negative
